"","X__1","2009 (m3)","2010 (m3)","2011 (m3)","2012 (m3)","2013 (m3)","2014 (m3)","2015 (m3)"
"1","01. Centro",9963253,7932295,8275191,8908306,7831925,7923991,8078181
"2","02. Arganzuela",7212546,6431422,7264305,6632726,6558983,6515509,6579395
"3","03. Retiro",6280514,5690401,6464158,5641420,5596144,5466275,5547876
"4","04. Salamanca",9374589,7934475,8828926,8203450,7852152,7596068,7854482
"5","05. Chamartín",8847614,8069182,9248336,7765260,7965074,7880252,7958709
"6","06. Tetuán",7540252,7058140,8146056,6756042,6912004,6817408,6950905
"7","07. Chamberí",9744482,7746335,8617058,7873364,7608073,7521017,7629917
"8","08. Fuencarral - El Pardo",11456017,11468290,11561989,10645422,10894393,10832032,11017112
"9","09. Moncloa - Aravaca",8313992,7374149,7286862,7574361,7037397,7052240,7203353
"10","10. Latina",12136687,9882401,9707550,10952350,9556992,9411409,9519649
"11","11. Carabanchel",12102279,9995441,9957214,11204186,9851401,9640677,9712521
"12","12. Usera",5788347,5767161,5158174,5698622,5135778,5066989,5155848
"13","13. Puente de Vallecas",9592052,9860828,9630083,8755822,8880554,8523670,8662490
"14","14. Moratalaz",4646941,4670144,4102469,4022453,4076657,4034655,4006717
"15","15. Ciudad Lineal",10897120,10866163,11134668,9870283,10004483,9880083,9946458
"16","16. Hortaleza",9269118,9721010,8981985,8634992,8719785,8837791,9140607
"17","17. Villaverde",5642422,6224362,5367120,5522469,5265394,5241546,5312487
"18","18. Villa de Vallecas",3675687,4137766,3687146,3800807,3931254,3915249,4147666
"19","19. Vicálvaro",3036731,3085468,2764788,2713079,2769791,2643435,2627999
"20","20. San Blas-Canillejas",6499030,7031687,6161448,6059341,6218302,6180822,6205538
"21","21. Barajas",2470811,2556282,2293445,2235955,2246367,2279901,2372537
"22","No consta",281411,495179,606415,642057,716178,859517,870401
